product_id,product_name,category,brand,description,price,marketplace,rating,terjual,tanggal_upload
FW00346,Blouse Korea Elzatta Premium,Fashion Wanita,Elzatta,"Blouse Korea dari Elzatta, desain feminim elegan cocok untuk kerja maupun jalan.",226000,TikTok Shop,4.6,36,2019-11-07
MM01774,Abon Sapi Kobe,Makanan & Minuman,Kobe,"Abon Sapi dari Kobe, kualitas premium dengan cita rasa khas nusantara.",90500,TikTok Shop,4.5,26,2021-07-11
FW00286,Blouse Korea Pomelo Premium,Fashion Wanita,Pomelo,"Blouse Korea dari Pomelo, bahan adem jatuh dan nyaman untuk aktivitas seharian.",212500,TikTok Shop,4.6,6822,2025-05-08
GA00919,Kabel Data Type-C Hippo Original,Gadget & Aksesoris HP,Hippo,"Kabel Data Type-C dari Hippo, pengisian cepat kcompatibel untuk semua tipe hp.",486000,Tokopedia,4.7,192,2024-11-07
GA00918,Headset Gaming Robot Premium,Gadget & Aksesoris HP,Robot,"Headset Gaming dari Robot, kualitas original bergaransi resmi dan awet.",413000,Shopee,4.3,265,2022-03-19
FP00094,Celana Jeans Nevada Terbaru,Fashion Pria,Nevada,"Celana Jeans dari Nevada, jahitan rapi awet dan tidak mudah luntur.",127500,Tokopedia,4.1,14990,2022-05-03
FP00102,Kemeja Lengan Panjang Greenlight Terbaru,Fashion Pria,Greenlight,"Kemeja Lengan Panjang dari Greenlight, model slim fit kekinian cocok untuk anak muda.",143500,Shopee,4.3,1092,2020-08-03
FW00320,Outer Blazer The Executive,Fashion Wanita,The Executive,"Outer Blazer dari The Executive, desain feminim elegan cocok untuk kerja maupun jalan.",92500,Tokopedia,4.1,1290,2024-10-04
GA00970,Headset Gaming Aukey Premium,Gadget & Aksesoris HP,Aukey,"Headset Gaming dari Aukey, suara jernih bass mantap cocok untuk gaming dan musik.",158000,Shopee,4.8,15496,2020-07-22
PR01095,Keset Kaki IKEA Premium,Peralatan Rumah,IKEA,"Keset Kaki dari IKEA, bahan kuat tahan lama dan mudah dibersihkan.",25500,Tokopedia,4.6,38,2019-05-06
OO01628,Dumbbell Set Ortuseight Original,Olahraga & Outdoor,Ortuseight,"Dumbbell Set dari Ortuseight, cocok untuk pemula maupun atlet profesional.",191000,Shopee,4.8,14439,2023-05-03
MM01968,Kopi Robusta Kapal Api Edisi Spesial,Makanan & Minuman,Kapal Api,"Kopi Robusta dari Kapal Api, rasa gurih dan enak dibuat dari bahan pilihan.",153500,TikTok Shop,5.0,14778,2024-05-07
MM01821,Kacang Panggang Silverqueen Edisi Spesial,Makanan & Minuman,Silverqueen,"Kacang Panggang dari Silverqueen, kualitas premium dengan cita rasa khas nusantara.",100000,Shopee,4.7,329,2024-01-05
MM01922,Kopi Robusta Kobe Premium,Makanan & Minuman,Kobe,"Kopi Robusta dari Kobe, kemasan praktis cocok untuk stok camilan di rumah.",33000,Shopee,4.1,17020,2019-08-06
GA00999,Kabel Data Type-C Anker Best Seller,Gadget & Aksesoris HP,Anker,"Kabel Data Type-C dari Anker, pengisian cepat kcompatibel untuk semua tipe hp.",240500,Shopee,4.6,24618,2023-06-04
GA00928,Holder HP Mobil Rexus Edisi Spesial,Gadget & Aksesoris HP,Rexus,"Holder HP Mobil dari Rexus, pengisian cepat kcompatibel untuk semua tipe hp.",46500,Tokopedia,4.5,26,2019-01-09
FP00152,Celana Chino Emba Edisi Spesial,Fashion Pria,Emba,"Celana Chino dari Emba, bahan katun premium adem nyaman dipakai harian.",281500,Shopee,4.1,609,2024-10-07
SK00610,Toner Hydrating Wardah Edisi Spesial,Skincare & Kecantikan,Wardah,"Toner Hydrating dari Wardah, membantu mengatasi jerawat dan menyamarkan noda hitam.",93000,Shopee,4.6,42,2023-03-27
PR01085,Lampu LED Maspion Best Seller,Peralatan Rumah,Maspion,"Lampu LED dari Maspion, desain minimalis hemat tempat cocok untuk rumah modern.",20500,TikTok Shop,4.1,316,2021-01-17
PR01220,Panci Anti Lengket Maspion Original,Peralatan Rumah,Maspion,"Panci Anti Lengket dari Maspion, praktis multifungsi memudahkan pekerjaan rumah tangga.",377000,Tokopedia,4.2,3665,2019-10-09
IB01324,Bantal Peang MamyPoko Edisi Spesial,Ibu & Bayi,MamyPoko,"Bantal Peang dari MamyPoko, desain lucu dengan kualitas premium terpercaya.",95500,Shopee,4.0,416,2021-10-06
IB01400,Tisu Basah MamyPoko Edisi Spesial,Ibu & Bayi,MamyPoko,"Tisu Basah dari MamyPoko, desain lucu dengan kualitas premium terpercaya.",46000,Shopee,5.0,10,2022-10-24
FW00357,Dress Casual Zara Basic Original,Fashion Wanita,Zara Basic,"Dress Casual dari Zara Basic, model korean style yang sedang tren dan kekinian.",184500,Tokopedia,3.9,418,2021-09-04
PR01100,Panci Anti Lengket Technoplast Best Seller,Peralatan Rumah,Technoplast,"Panci Anti Lengket dari Technoplast, praktis multifungsi memudahkan pekerjaan rumah tangga.",322500,Tokopedia,4.5,26143,2023-09-27
SK00654,Facial Wash MS Glow Original,Skincare & Kecantikan,MS Glow,"Facial Wash dari MS Glow, aman untuk kulit sensitif dan sudah bpom terdaftar.",38500,Shopee,4.3,847,2020-08-15
FP00193,Celana Cargo Nevada,Fashion Pria,Nevada,"Celana Cargo dari Nevada, jahitan rapi awet dan tidak mudah luntur.",128000,Tokopedia,4.1,36,2019-07-10
GA00818,Kabel Data Type-C Hippo Premium,Gadget & Aksesoris HP,Hippo,"Kabel Data Type-C dari Hippo, kualitas original bergaransi resmi dan awet.",368000,Tokopedia,4.9,24,2025-11-17
FP00174,Kemeja Lengan Panjang Erigo,Fashion Pria,Erigo,"Kemeja Lengan Panjang dari Erigo, model slim fit kekinian cocok untuk anak muda.",271000,Tokopedia,4.7,876,2024-11-15
OO01596,Sarung Tangan Gym Consina Premium,Olahraga & Outdoor,Consina,"Sarung Tangan Gym dari Consina, ringan nyaman dan mendukung performa saat berolahraga.",53000,Shopee,3.9,206,2020-04-05
GA00847,TWS Bluetooth Baseus Original,Gadget & Aksesoris HP,Baseus,"TWS Bluetooth dari Baseus, kualitas original bergaransi resmi dan awet.",107000,Tokopedia,4.0,2633,2019-04-12
FP00075,Celana Jeans Emba,Fashion Pria,Emba,"Celana Jeans dari Emba, bahan katun premium adem nyaman dipakai harian.",164000,Tokopedia,4.1,3735,2021-11-22
IB01278,Gendongan Bayi Libby Best Seller,Ibu & Bayi,Libby,"Gendongan Bayi dari Libby, lembut dan aman untuk kulit sensitif bayi.",259500,Tokopedia,4.8,5491,2021-05-09
GA00960,Kabel Data Type-C Vivan Edisi Spesial,Gadget & Aksesoris HP,Vivan,"Kabel Data Type-C dari Vivan, desain premium ringan dan mudah dibawa kemana saja.",218500,Tokopedia,4.6,28917,2020-03-11
FP00212,Kemeja Flanel 3Second Premium,Fashion Pria,3Second,"Kemeja Flanel dari 3Second, bahan katun premium adem nyaman dipakai harian.",188500,Tokopedia,4.7,1920,2021-09-10
FP00250,Kemeja Lengan Panjang Emba Best Seller,Fashion Pria,Emba,"Kemeja Lengan Panjang dari Emba, bahan katun premium adem nyaman dipakai harian.",316000,Shopee,4.3,28,2020-06-08
FW00366,Outer Blazer Elzatta Edisi Spesial,Fashion Wanita,Elzatta,"Outer Blazer dari Elzatta, desain feminim elegan cocok untuk kerja maupun jalan.",218000,TikTok Shop,4.6,13384,2024-10-03
MM01969,Cokelat Batang Sasa Terbaru,Makanan & Minuman,Sasa,"Cokelat Batang dari Sasa, kualitas premium dengan cita rasa khas nusantara.",163500,TikTok Shop,4.6,27475,2021-02-13
IB01352,Sepatu Prewalker Nuby Original,Ibu & Bayi,Nuby,"Sepatu Prewalker dari Nuby, desain lucu dengan kualitas premium terpercaya.",263000,Shopee,4.3,20,2025-08-06
IB01409,Botol Susu Anti Kolik Nuby Premium,Ibu & Bayi,Nuby,"Botol Susu Anti Kolik dari Nuby, lembut dan aman untuk kulit sensitif bayi.",225500,Tokopedia,4.1,3415,2019-05-22
FP00105,Polo Shirt Greenlight,Fashion Pria,Greenlight,"Polo Shirt dari Greenlight, desain simpel elegan untuk gaya kasual maupun formal.",185500,Shopee,4.9,166,2019-02-14
OO01745,Raket Badminton Adidas Premium,Olahraga & Outdoor,Adidas,"Raket Badminton dari Adidas, bahan berkualitas tahan lama untuk aktivitas outdoor.",294000,TikTok Shop,4.2,201,2021-01-13
PR01214,Panci Anti Lengket Lion Star Terbaru,Peralatan Rumah,Lion Star,"Panci Anti Lengket dari Lion Star, bahan kuat tahan lama dan mudah dibersihkan.",349500,Tokopedia,5.0,247,2021-08-21
MM01956,Teh Celup Premium Sasa Terbaru,Makanan & Minuman,Sasa,"Teh Celup Premium dari Sasa, kualitas premium dengan cita rasa khas nusantara.",178500,Tokopedia,4.3,1307,2023-01-26
SK00622,Serum Vitamin C Avoskin Terbaru,Skincare & Kecantikan,Avoskin,"Serum Vitamin C dari Avoskin, membantu mengatasi jerawat dan menyamarkan noda hitam.",162000,TikTok Shop,4.2,32,2019-10-23
FW00500,Celana Kulot Zara Basic Premium,Fashion Wanita,Zara Basic,"Celana Kulot dari Zara Basic, bahan adem jatuh dan nyaman untuk aktivitas seharian.",83500,Shopee,4.9,966,2024-10-17
IB01321,Mainan Edukasi Libby Terbaru,Ibu & Bayi,Libby,"Mainan Edukasi dari Libby, daya serap tinggi membuat bayi nyaman sepanjang hari.",185000,TikTok Shop,4.1,341,2019-06-07
MM01819,Sereal Sarapan Kobe Best Seller,Makanan & Minuman,Kobe,"Sereal Sarapan dari Kobe, kemasan praktis cocok untuk stok camilan di rumah.",38500,TikTok Shop,5.0,2226,2020-10-22
OO01519,Dumbbell Set Nike Premium,Olahraga & Outdoor,Nike,"Dumbbell Set dari Nike, cocok untuk pemula maupun atlet profesional.",299000,Tokopedia,4.4,6385,2021-03-26
IB01334,Tisu Basah Pigeon Terbaru,Ibu & Bayi,Pigeon,"Tisu Basah dari Pigeon, lembut dan aman untuk kulit sensitif bayi.",75000,Shopee,5.0,968,2022-04-12
OO01546,Skipping Rope Specs Best Seller,Olahraga & Outdoor,Specs,"Skipping Rope dari Specs, bahan berkualitas tahan lama untuk aktivitas outdoor.",412000,TikTok Shop,4.7,271,2025-08-26
FP00067,Sweater Rajut Ouval Edisi Spesial,Fashion Pria,Ouval,"Sweater Rajut dari Ouval, bahan katun premium adem nyaman dipakai harian.",193500,TikTok Shop,4.5,27689,2021-06-02
IB01253,Sepatu Prewalker Pigeon Premium,Ibu & Bayi,Pigeon,"Sepatu Prewalker dari Pigeon, daya serap tinggi membuat bayi nyaman sepanjang hari.",255500,Shopee,4.6,9,2024-05-05
SK00661,Eye Cream Skintific,Skincare & Kecantikan,Skintific,"Eye Cream dari Skintific, mencerahkan dan melembapkan kulit wajah secara efektif.",136000,Tokopedia,4.8,250,2025-06-24
GA00952,Holder HP Mobil Aukey,Gadget & Aksesoris HP,Aukey,"Holder HP Mobil dari Aukey, suara jernih bass mantap cocok untuk gaming dan musik.",402500,TikTok Shop,4.6,4962,2025-11-12
MM01817,Minuman Serbuk Tango Terbaru,Makanan & Minuman,Tango,"Minuman Serbuk dari Tango, rasa gurih dan enak dibuat dari bahan pilihan.",165000,Shopee,4.1,1869,2019-12-18
FP00238,Sweater Rajut Erigo Premium,Fashion Pria,Erigo,"Sweater Rajut dari Erigo, jahitan rapi awet dan tidak mudah luntur.",199500,TikTok Shop,4.7,28847,2019-02-21
IB01452,Gendongan Bayi Cussons Baby Premium,Ibu & Bayi,Cussons Baby,"Gendongan Bayi dari Cussons Baby, lembut dan aman untuk kulit sensitif bayi.",130500,Tokopedia,4.5,21157,2023-11-08
FW00440,Dress Casual Pomelo,Fashion Wanita,Pomelo,"Dress Casual dari Pomelo, warna pastel lembut mudah dipadupadankan.",172000,TikTok Shop,5.0,301,2021-01-04
FP00218,Celana Jeans Wrangler Terbaru,Fashion Pria,Wrangler,"Celana Jeans dari Wrangler, jahitan rapi awet dan tidak mudah luntur.",197000,Shopee,4.3,182,2025-04-07
SK00604,Cushion Matte Scarlett Premium,Skincare & Kecantikan,Scarlett,"Cushion Matte dari Scarlett, tekstur ringan cepat meresap tidak lengket di kulit.",133500,TikTok Shop,4.8,1843,2024-11-13
PR01123,Gantungan Baju Lion Star Edisi Spesial,Peralatan Rumah,Lion Star,"Gantungan Baju dari Lion Star, desain minimalis hemat tempat cocok untuk rumah modern.",395500,TikTok Shop,4.9,4,2022-12-01
GA00941,Softcase Anti Crack Baseus Terbaru,Gadget & Aksesoris HP,Baseus,"Softcase Anti Crack dari Baseus, kualitas original bergaransi resmi dan awet.",102000,Shopee,4.4,32,2025-11-05
FW00453,Rok Plisket Vanilla Hijab Premium,Fashion Wanita,Vanilla Hijab,"Rok Plisket dari Vanilla Hijab, model korean style yang sedang tren dan kekinian.",103500,Tokopedia,4.2,8721,2019-03-08
IB01308,Sabun Bayi Sweety Original,Ibu & Bayi,Sweety,"Sabun Bayi dari Sweety, lembut dan aman untuk kulit sensitif bayi.",116500,Tokopedia,3.9,20,2022-11-24
FW00295,Midi Dress The Executive,Fashion Wanita,The Executive,"Midi Dress dari The Executive, warna pastel lembut mudah dipadupadankan.",129500,TikTok Shop,4.0,24,2019-07-03
OO01538,Sarung Tangan Gym Nike Edisi Spesial,Olahraga & Outdoor,Nike,"Sarung Tangan Gym dari Nike, cocok untuk pemula maupun atlet profesional.",198000,Tokopedia,4.3,11193,2024-12-06
FP00221,Hoodie Erigo,Fashion Pria,Erigo,"Hoodie dari Erigo, model slim fit kekinian cocok untuk anak muda.",115000,TikTok Shop,4.5,13004,2023-02-25
IB01410,Selimut Bayi Cussons Baby Edisi Spesial,Ibu & Bayi,Cussons Baby,"Selimut Bayi dari Cussons Baby, lembut dan aman untuk kulit sensitif bayi.",256000,TikTok Shop,4.5,415,2021-02-02
PR01152,Keset Kaki IKEA Premium,Peralatan Rumah,IKEA,"Keset Kaki dari IKEA, desain minimalis hemat tempat cocok untuk rumah modern.",81500,Shopee,4.5,2166,2021-01-15
GA00837,Tempered Glass Rexus Edisi Spesial,Gadget & Aksesoris HP,Rexus,"Tempered Glass dari Rexus, pengisian cepat kcompatibel untuk semua tipe hp.",73000,TikTok Shop,4.5,9273,2024-10-11
PR01211,Lampu LED Claris Edisi Spesial,Peralatan Rumah,Claris,"Lampu LED dari Claris, bahan kuat tahan lama dan mudah dibersihkan.",394000,TikTok Shop,4.4,2709,2022-09-25
MM01810,Snack Rumput Laut Nabati Edisi Spesial,Makanan & Minuman,Nabati,"Snack Rumput Laut dari Nabati, rasa gurih dan enak dibuat dari bahan pilihan.",93500,Shopee,4.8,425,2022-08-01
SK00730,Toner Hydrating Skintific Best Seller,Skincare & Kecantikan,Skintific,"Toner Hydrating dari Skintific, mencerahkan dan melembapkan kulit wajah secara efektif.",64500,Tokopedia,4.4,17068,2020-10-22
IB01267,Botol Susu Anti Kolik Mothercare Best Seller,Ibu & Bayi,Mothercare,"Botol Susu Anti Kolik dari Mothercare, lembut dan aman untuk kulit sensitif bayi.",195000,TikTok Shop,4.9,88,2020-02-02
PR01084,Keset Kaki Greebel Best Seller,Peralatan Rumah,Greebel,"Keset Kaki dari Greebel, praktis multifungsi memudahkan pekerjaan rumah tangga.",223000,Tokopedia,4.8,104,2021-01-17
IB01274,Baju Bayi Newborn Sleek,Ibu & Bayi,Sleek,"Baju Bayi Newborn dari Sleek, lembut dan aman untuk kulit sensitif bayi.",30500,Shopee,4.2,4862,2023-12-01
OO01572,Botol Minum Sport Specs Edisi Spesial,Olahraga & Outdoor,Specs,"Botol Minum Sport dari Specs, desain ergonomis anti selip aman digunakan.",428500,TikTok Shop,4.1,21332,2025-10-17
OO01541,Sarung Tangan Gym League Original,Olahraga & Outdoor,League,"Sarung Tangan Gym dari League, ringan nyaman dan mendukung performa saat berolahraga.",403500,Tokopedia,4.1,3942,2022-01-14
IB01336,Bantal Peang Sweety,Ibu & Bayi,Sweety,"Bantal Peang dari Sweety, daya serap tinggi membuat bayi nyaman sepanjang hari.",95500,TikTok Shop,4.5,3442,2019-01-18
OO01676,Raket Badminton Ortuseight Original,Olahraga & Outdoor,Ortuseight,"Raket Badminton dari Ortuseight, desain ergonomis anti selip aman digunakan.",478000,Shopee,4.4,4099,2020-03-24
SK00667,Masker Wajah Wardah Premium,Skincare & Kecantikan,Wardah,"Masker Wajah dari Wardah, tekstur ringan cepat meresap tidak lengket di kulit.",141500,Shopee,4.7,1920,2023-03-10
PR01031,Wadah Bumbu Technoplast Edisi Spesial,Peralatan Rumah,Technoplast,"Wadah Bumbu dari Technoplast, desain minimalis hemat tempat cocok untuk rumah modern.",94000,Shopee,4.5,464,2019-07-18
FW00471,Blouse Korea Berrybenka Best Seller,Fashion Wanita,Berrybenka,"Blouse Korea dari Berrybenka, model korean style yang sedang tren dan kekinian.",301000,Tokopedia,4.7,30,2021-06-11
GA00752,Holder HP Mobil Baseus Edisi Spesial,Gadget & Aksesoris HP,Baseus,"Holder HP Mobil dari Baseus, suara jernih bass mantap cocok untuk gaming dan musik.",191000,Tokopedia,3.9,488,2022-07-19
FW00386,Celana Kulot Colorbox Edisi Spesial,Fashion Wanita,Colorbox,"Celana Kulot dari Colorbox, desain feminim elegan cocok untuk kerja maupun jalan.",345500,Shopee,4.9,24520,2022-03-16
FP00129,Kemeja Flanel Greenlight Premium,Fashion Pria,Greenlight,"Kemeja Flanel dari Greenlight, model slim fit kekinian cocok untuk anak muda.",67500,TikTok Shop,4.6,13355,2025-03-19
MM01768,Kacang Panggang Madurasa,Makanan & Minuman,Madurasa,"Kacang Panggang dari Madurasa, tanpa pengawet berbahaya aman dikonsumsi keluarga.",29500,TikTok Shop,4.5,3585,2020-08-05
FW00428,Midi Dress Vanilla Hijab Edisi Spesial,Fashion Wanita,Vanilla Hijab,"Midi Dress dari Vanilla Hijab, warna pastel lembut mudah dipadupadankan.",202000,Shopee,4.6,38,2020-10-01
PR01191,Sapu Set Napolly Best Seller,Peralatan Rumah,Napolly,"Sapu Set dari Napolly, praktis multifungsi memudahkan pekerjaan rumah tangga.",309000,TikTok Shop,4.9,2972,2023-07-02
OO01658,Dumbbell Set Adidas Premium,Olahraga & Outdoor,Adidas,"Dumbbell Set dari Adidas, cocok untuk pemula maupun atlet profesional.",65000,Tokopedia,4.8,14341,2023-12-08
PR01037,Gantungan Baju Napolly Best Seller,Peralatan Rumah,Napolly,"Gantungan Baju dari Napolly, bahan kuat tahan lama dan mudah dibersihkan.",45500,TikTok Shop,4.2,120,2023-11-06
OO01565,Raket Badminton Specs Terbaru,Olahraga & Outdoor,Specs,"Raket Badminton dari Specs, cocok untuk pemula maupun atlet profesional.",500000,Shopee,4.2,20973,2022-09-25
GA00948,Holder HP Mobil JETE,Gadget & Aksesoris HP,JETE,"Holder HP Mobil dari JETE, kualitas original bergaransi resmi dan awet.",377000,Shopee,4.6,19455,2020-03-19
GA00947,Holder HP Mobil Aukey Best Seller,Gadget & Aksesoris HP,Aukey,"Holder HP Mobil dari Aukey, desain premium ringan dan mudah dibawa kemana saja.",487000,Tokopedia,4.9,4131,2024-01-14
MM01976,Keripik Singkong Tango Edisi Spesial,Makanan & Minuman,Tango,"Keripik Singkong dari Tango, tanpa pengawet berbahaya aman dikonsumsi keluarga.",15500,Tokopedia,4.5,22,2024-05-03
OO01627,Tas Ransel Gunung Consina Terbaru,Olahraga & Outdoor,Consina,"Tas Ransel Gunung dari Consina, cocok untuk pemula maupun atlet profesional.",396500,Shopee,4.4,10668,2019-01-05
FW00397,Kemeja Oversize The Executive Premium,Fashion Wanita,The Executive,"Kemeja Oversize dari The Executive, warna pastel lembut mudah dipadupadankan.",310500,TikTok Shop,4.7,25735,2019-06-22
FW00354,Atasan Crop Berrybenka Edisi Spesial,Fashion Wanita,Berrybenka,"Atasan Crop dari Berrybenka, warna pastel lembut mudah dipadupadankan.",212500,Shopee,4.0,29180,2021-07-23
OO01688,Resistance Band Ortuseight Original,Olahraga & Outdoor,Ortuseight,"Resistance Band dari Ortuseight, cocok untuk pemula maupun atlet profesional.",146000,TikTok Shop,4.1,26386,2019-06-21
SK00589,Facial Wash Azarine Terbaru,Skincare & Kecantikan,Azarine,"Facial Wash dari Azarine, tekstur ringan cepat meresap tidak lengket di kulit.",70500,Shopee,5.0,24,2023-11-26
FP00028,Polo Shirt Nevada,Fashion Pria,Nevada,"Polo Shirt dari Nevada, jahitan rapi awet dan tidak mudah luntur.",340000,TikTok Shop,4.5,214,2021-12-17
GA00849,Kepala Charger Aukey Premium,Gadget & Aksesoris HP,Aukey,"Kepala Charger dari Aukey, pengisian cepat kcompatibel untuk semua tipe hp.",429000,TikTok Shop,4.7,442,2023-06-27
OO01679,Sepatu Running Nike Premium,Olahraga & Outdoor,Nike,"Sepatu Running dari Nike, desain ergonomis anti selip aman digunakan.",159500,Shopee,4.1,21411,2019-10-26
OO01530,Botol Minum Sport Nike Premium,Olahraga & Outdoor,Nike,"Botol Minum Sport dari Nike, desain ergonomis anti selip aman digunakan.",122500,Tokopedia,4.4,272,2021-01-16
MM01933,Abon Sapi Sasa,Makanan & Minuman,Sasa,"Abon Sapi dari Sasa, rasa gurih dan enak dibuat dari bahan pilihan.",36500,Tokopedia,4.3,48,2019-05-18
IB01339,Sepatu Prewalker Sweety Edisi Spesial,Ibu & Bayi,Sweety,"Sepatu Prewalker dari Sweety, bahan hypoallergenic bebas bahan kimia berbahaya.",273500,TikTok Shop,4.0,24,2019-12-03
FP00242,Celana Cargo Greenlight Edisi Spesial,Fashion Pria,Greenlight,"Celana Cargo dari Greenlight, desain simpel elegan untuk gaya kasual maupun formal.",121500,Tokopedia,4.4,21796,2020-06-10
PR01125,Rak Serbaguna Maspion,Peralatan Rumah,Maspion,"Rak Serbaguna dari Maspion, praktis multifungsi memudahkan pekerjaan rumah tangga.",293500,TikTok Shop,4.2,3902,2024-03-05
FW00372,Rok Plisket Zara Basic,Fashion Wanita,Zara Basic,"Rok Plisket dari Zara Basic, model korean style yang sedang tren dan kekinian.",376500,Shopee,4.0,29581,2022-04-02
OO01548,Raket Badminton Adidas,Olahraga & Outdoor,Adidas,"Raket Badminton dari Adidas, ringan nyaman dan mendukung performa saat berolahraga.",368500,Shopee,4.9,814,2022-03-12
OO01608,Dumbbell Set Adidas Edisi Spesial,Olahraga & Outdoor,Adidas,"Dumbbell Set dari Adidas, ringan nyaman dan mendukung performa saat berolahraga.",64000,TikTok Shop,3.9,9758,2023-04-12
FW00304,Dress Casual Pomelo Best Seller,Fashion Wanita,Pomelo,"Dress Casual dari Pomelo, desain feminim elegan cocok untuk kerja maupun jalan.",168000,Shopee,4.1,4874,2019-07-13
GA00893,Kabel Data Type-C JETE,Gadget & Aksesoris HP,JETE,"Kabel Data Type-C dari JETE, pengisian cepat kcompatibel untuk semua tipe hp.",103000,Shopee,4.8,260,2025-03-07
MM01802,Sereal Sarapan Kobe,Makanan & Minuman,Kobe,"Sereal Sarapan dari Kobe, rasa gurih dan enak dibuat dari bahan pilihan.",135500,Shopee,5.0,2030,2021-07-04
FW00257,Atasan Crop Nona Best Seller,Fashion Wanita,Nona,"Atasan Crop dari Nona, model korean style yang sedang tren dan kekinian.",168500,Tokopedia,4.0,203,2025-02-26
FW00420,Outer Blazer Colorbox Best Seller,Fashion Wanita,Colorbox,"Outer Blazer dari Colorbox, model korean style yang sedang tren dan kekinian.",399000,TikTok Shop,3.9,10,2025-09-05
SK00577,Eye Cream Azarine Edisi Spesial,Skincare & Kecantikan,Azarine,"Eye Cream dari Azarine, mencerahkan dan melembapkan kulit wajah secara efektif.",223000,Tokopedia,3.8,82,2020-09-07
OO01677,Sarung Tangan Gym Eiger Premium,Olahraga & Outdoor,Eiger,"Sarung Tangan Gym dari Eiger, desain ergonomis anti selip aman digunakan.",65000,Shopee,4.3,507,2024-01-03
PR01171,Toples Kedap Udara Greebel Edisi Spesial,Peralatan Rumah,Greebel,"Toples Kedap Udara dari Greebel, bahan kuat tahan lama dan mudah dibersihkan.",267500,TikTok Shop,3.8,28570,2021-01-01
IB01342,Tisu Basah Mothercare Edisi Spesial,Ibu & Bayi,Mothercare,"Tisu Basah dari Mothercare, bahan hypoallergenic bebas bahan kimia berbahaya.",143500,TikTok Shop,4.9,176,2021-02-02
GA00917,Powerbank 10000mAh Anker Premium,Gadget & Aksesoris HP,Anker,"Powerbank 10000mAh dari Anker, pengisian cepat kcompatibel untuk semua tipe hp.",236000,Tokopedia,3.8,133,2024-08-02
FP00111,Kemeja Flanel Cardinal,Fashion Pria,Cardinal,"Kemeja Flanel dari Cardinal, bahan katun premium adem nyaman dipakai harian.",175000,Tokopedia,4.7,14,2020-11-28
